Species,MeanCPUE,Year,CPUE_SE,Common_Name2
Gadus chalcogrammus,2817.596697,1981,496.8427778,Walleye pollock
Gadus chalcogrammus,82.58530191,1982,29.10610901,Walleye pollock
Gadus chalcogrammus,391.9320087,1983,61.73793817,Walleye pollock
Gadus chalcogrammus,67.67278587,1985,11.63536869,Walleye pollock
Gadus chalcogrammus,379.2907576,1987,48.49512443,Walleye pollock
Gadus chalcogrammus,186.7693364,1988,12.32668355,Walleye pollock
Gadus chalcogrammus,559.7355772,1989,53.83828655,Walleye pollock
Gadus chalcogrammus,322.7864881,1990,24.35669831,Walleye pollock
Gadus chalcogrammus,56.45829191,1991,8.549877154,Walleye pollock
Gadus chalcogrammus,508.1062087,1992,67.15661958,Walleye pollock
Gadus chalcogrammus,176.8206581,1993,20.79827958,Walleye pollock
Gadus chalcogrammus,127.8592607,1994,12.75963742,Walleye pollock
Gadus chalcogrammus,669.2691617,1995,68.6732281,Walleye pollock
Gadus chalcogrammus,480.3181419,1996,37.96866627,Walleye pollock
Gadus chalcogrammus,572.0762603,1997,64.80878925,Walleye pollock
Gadus chalcogrammus,73.85687498,1998,8.600271082,Walleye pollock
Gadus chalcogrammus,89.63539384,1999,15.66392868,Walleye pollock
Gadus chalcogrammus,473.5412103,2000,57.43732727,Walleye pollock
Gadus chalcogrammus,156.3971946,2001,17.9042056,Walleye pollock
Gadus chalcogrammus,144.8300226,2002,27.2758392,Walleye pollock
Gadus chalcogrammus,112.7811958,2003,13.08469607,Walleye pollock
Gadus chalcogrammus,18.38648979,2004,2.107506468,Walleye pollock
Gadus chalcogrammus,67.5966407,2005,7.232947446,Walleye pollock
Gadus chalcogrammus,370.2231127,2006,56.98029139,Walleye pollock
Gadus chalcogrammus,183.5685165,2007,20.73967377,Walleye pollock
Gadus chalcogrammus,181.0380031,2008,23.71575234,Walleye pollock
Gadus chalcogrammus,148.4984164,2009,24.01467265,Walleye pollock
Gadus chalcogrammus,391.5082908,2010,61.42175862,Walleye pollock
Gadus chalcogrammus,180.7783964,2011,27.89667329,Walleye pollock
Gadus chalcogrammus,1871.006797,2013,366.986332,Walleye pollock
Gadus chalcogrammus,13.84568108,2015,2.142452926,Walleye pollock
Gadus chalcogrammus,481.2956519,2017,33.94545545,Walleye pollock
Gadus chalcogrammus,64.10066642,2019,6.470235023,Walleye pollock
Gadus macrocephalus,4.01467866,1981,1.359630637,Pacific cod
Gadus macrocephalus,9.74985175,1982,8.82813812,Pacific cod
Gadus macrocephalus,6.237219048,1983,1.206040102,Pacific cod
Gadus macrocephalus,8.170616117,1985,1.455405253,Pacific cod
Gadus macrocephalus,3.400605466,1987,0.935926802,Pacific cod
Gadus macrocephalus,1.381763192,1988,0.24618426,Pacific cod
Gadus macrocephalus,54.93221085,1989,9.910883497,Pacific cod
Gadus macrocephalus,28.52259352,1990,3.627237287,Pacific cod
Gadus macrocephalus,13.72253886,1991,4.706710556,Pacific cod
Gadus macrocephalus,54.32483233,1992,7.847505071,Pacific cod
Gadus macrocephalus,4.8328337,1993,1.054169139,Pacific cod
Gadus macrocephalus,13.64544946,1994,2.237915951,Pacific cod
Gadus macrocephalus,37.14345645,1995,8.776298893,Pacific cod
Gadus macrocephalus,8.238837142,1996,1.305915215,Pacific cod
Gadus macrocephalus,20.63089739,1997,3.3704202,Pacific cod
Gadus macrocephalus,2.441017116,1998,0.644956579,Pacific cod
Gadus macrocephalus,5.90565073,1999,1.132300078,Pacific cod
Gadus macrocephalus,11.33705598,2000,1.584084942,Pacific cod
Gadus macrocephalus,6.608819554,2001,0.929216604,Pacific cod
Gadus macrocephalus,14.25178676,2002,3.773705863,Pacific cod
Gadus macrocephalus,2.853597781,2003,0.594853401,Pacific cod
Gadus macrocephalus,3.44105251,2004,0.88413159,Pacific cod
Gadus macrocephalus,1.144005442,2005,0.362638122,Pacific cod
Gadus macrocephalus,11.95728885,2006,2.049946827,Pacific cod
Gadus macrocephalus,33.26941898,2007,8.017637426,Pacific cod
Gadus macrocephalus,20.81693344,2008,5.569391089,Pacific cod
Gadus macrocephalus,14.59368523,2009,2.601775169,Pacific cod
Gadus macrocephalus,3.172230865,2010,0.664753449,Pacific cod
Gadus macrocephalus,2.638848008,2011,0.576227223,Pacific cod
Gadus macrocephalus,55.65830314,2013,13.047119,Pacific cod
Gadus macrocephalus,0.369835223,2015,0.138698436,Pacific cod
Gadus macrocephalus,4.940940892,2017,1.058885342,Pacific cod
Gadus macrocephalus,0.448241773,2019,0.190867643,Pacific cod
